escenario,cuenta,ciclo_actual,ciclo_previo,grupo,sub_grupo,delta,causa,sustento
a_prorrateo,716389015,20260417,,CARGO FIJO PROPORCIONAL,CARGO FIJO MOVIL,7.73,prorrateo,"{'tabla': 'BRAINY_PRORRATEO_ALTASV3.csv', 'fecha_inicio': '15/04/2026 00:00:00', 'fecha_fin': '17/04/2026 00:00:00', 'monto_sustento': 7.73, 'conciliacion_importe': {'estado': 'exacta', 'delta': 7.73, 'monto_sustento': 7.73, 'diferencia': 0.0}, 'llave_fuente': {'CuentaFinanciera': '716389015', 'Ciclica': '17/04/2026'}, 'campos_usados': {'suma_prorrateo': 7.73, 'fecha_inicio_minima': '15/04/2026 00:00:00', 'fecha_fin_maxima': '17/04/2026 00:00:00'}}"
b_financiamiento,757869240,20260605,20260405,CARGA EXTERNA,Carga Externa - Descuento Financiamiento,-8.59,equipo_financiado,"{'tabla': 'FACTURACION-CLIENTES.csv (GRUPO=CARGA EXTERNA, ajuste asociado a financiamiento)', 'conciliacion_importe': {'estado': 'parcial', 'delta': -8.59, 'monto_sustento': None, 'diferencia': None}, 'llave_fuente': {'FINANCIAL_ACCOUNT_KEY': '757869240', 'ciclo': '20260605', 'GRUPO': 'CARGA EXTERNA', 'SUB_GRUPO': 'Carga Externa - Descuento Financiamiento'}, 'campos_usados': {'delta': -8.59, 'GRUPO': 'CARGA EXTERNA', 'SUB_GRUPO': 'Carga Externa - Descuento Financiamiento'}}"
b_financiamiento,757869240,20260605,20260405,CARGO FIJO PROPORCIONAL VENCIDO,CARGO FIJO PROPORCIONAL VENCIDO MOVIL,1.31,no_explicado,{}
b_financiamiento,757869240,20260605,20260405,CARGO POR RECONEXION,CARGO POR RECONEXION,4.58,reconexion,"{'tabla': 'BRAINY_RECONEXIONESV3.csv', 'fecha_corte': '27/03/2026 00:00:00', 'fecha_reconexion': '15/05/2026 00:00:00', 'monto_sustento': 4.58, 'conciliacion_importe': {'estado': 'exacta', 'delta': 4.58, 'monto_sustento': 4.58, 'diferencia': 0.0}, 'llave_fuente': {'CuentaFinanciera': '757869240', 'Ciclica': '5/06/2026'}, 'campos_usados': {'Monto': 4.58, 'FechaCorte': '27/03/2026 00:00:00', 'FechaReconexion': '15/05/2026 00:00:00'}}"
b_financiamiento,757869240,20260605,20260405,NO CONSIDERAR,FINANCIAMIENTO,11.45,equipo_financiado,"{'tabla': 'FACTURACION-CLIENTES.csv (GRUPO=NO CONSIDERAR/FINANCIAMIENTO, sin par de reversion)', 'conciliacion_importe': {'estado': 'parcial', 'delta': 11.45, 'monto_sustento': None, 'diferencia': None}}"
c_reconexion,100032914,20260415,20260315,CARGO FIJO PROPORCIONAL VENCIDO,CARGO FIJO PROPORCIONAL VENCIDO MOVIL,-28.23,fin_prorrateo_anterior,"{'tabla': 'FACTURACION-CLIENTES_.csv', 'explicacion': 'Cargo de prorrateo del ciclo anterior (cobro unico) que no se repite este ciclo.', 'llave_fuente': {'FINANCIAL_ACCOUNT_KEY': '100032914', 'ciclo': '20260315', 'GRUPO': 'CARGO FIJO PROPORCIONAL VENCIDO', 'SUB_GRUPO': 'CARGO FIJO PROPORCIONAL VENCIDO MOVIL'}, 'campos_usados': {'delta': -28.23, 'GRUPO': 'CARGO FIJO PROPORCIONAL VENCIDO', 'SUB_GRUPO': 'CARGO FIJO PROPORCIONAL VENCIDO MOVIL'}}"
c_reconexion,100032914,20260415,20260315,CARGO POR RECONEXION,CARGO POR RECONEXION,4.58,reconexion,"{'tabla': 'BRAINY_RECONEXIONESV3.csv', 'fecha_corte': '20/03/2026 00:00:00', 'fecha_reconexion': '10/04/2026 00:00:00', 'monto_sustento': 4.58, 'conciliacion_importe': {'estado': 'exacta', 'delta': 4.58, 'monto_sustento': 4.58, 'diferencia': 0.0}, 'llave_fuente': {'CuentaFinanciera': '100032914', 'Ciclica': '15/04/2026'}, 'campos_usados': {'Monto': 4.58, 'FechaCorte': '20/03/2026 00:00:00', 'FechaReconexion': '10/04/2026 00:00:00'}}"
d_fin_descuento,758420349,20260505,20260405,DESCUENTO CARGO RECURRENTE,CHURN / FIDELIZACION,66.41,fin_descuento,"{'tabla': 'BRAINY_DESCUENTOS_CUOTAS.csv', 'descripcion': 'Fideliza Porc Internet 95% x 3 Meses', 'fecha_fin': '2026-05-05 00:00:00.000', 'porcentaje_promo': 95.0, 'tipo_renta': 'RA', 'conciliacion_importe': {'estado': 'parcial', 'delta': 66.41, 'monto_sustento': None, 'diferencia': None}, 'llave_fuente': {'cuentafinanciera': '758420349', 'Ciclo': '2026-04-05'}, 'campos_usados': {'Descripcion': 'Fideliza Porc Internet 95% x 3 Meses', 'FechaFin': '2026-05-05 00:00:00.000', 'PorcentajePromo': 95.0, 'TipoRenta': 'RA'}}"
e_cambio_plan,100706563,20260415,20260315,CARGO FIJO,PLAN,-49.0,cambio_plan,"{'descripcion_plan_anterior': 'RV Plan Ilimitado Mi Movistar S/69.9 VII', 'descripcion_plan_nuevo': 'RV Plan Ahorro Mi Movistar S/20.9 VII', 'tabla': 'Ordenes.csv (aproximado: orden mas cercana en fecha al ciclo, no hay llave exacta)', 'fecha_orden': '2026-03-16 00:33:18', 'motivo_orden': 'Pedido de Cliente', 'llave_fuente': {'CUSTOMER_KEY': '54874158', 'ORDER_ACTION_COMPLETION_DATE': '2026-03-16 00:33:18'}, 'campos_usados': {'ORDER_ACTION_REASON_DESC': 'Pedido de Cliente', 'distancia_dias_al_ciclo': 29}}"
e_cambio_plan,100706563,20260415,20260315,DESCUENTO CARGO RECURRENTE,CAPTACION,24.49,fin_descuento,"{'tabla': 'BRAINY_DESCUENTOS_CUOTAS.csv', 'descripcion': 'Dscto por campaña VEN A MOVISTAR 1', 'fecha_fin': '2026-05-16 00:00:00.000', 'porcentaje_promo': 50.0, 'tipo_renta': 'RV', 'conciliacion_importe': {'estado': 'parcial', 'delta': 24.49, 'monto_sustento': None, 'diferencia': None}, 'llave_fuente': {'cuentafinanciera': '100706563', 'Ciclo': '2026-03-15'}, 'campos_usados': {'Descripcion': 'Dscto por campaña VEN A MOVISTAR 1', 'FechaFin': '2026-05-16 00:00:00.000', 'PorcentajePromo': 50.0, 'TipoRenta': 'RV'}}"
