CHARGE CODE;rate_final;TIPO DE RENTA
FREOEQ_003;4.24;
FREOEQ_004;4.24;
FREOEQBM_005;12.9;
FREOEQBM_006;12.9;
FREOEQBM_007;12.9;
FREOEQBM_008;12.9;
FREOEQBM_009;12.9;
FREOEQBM_010;12.9;
FREOEQBM_011;372.8;
FREREQD_001;100;
FREREQD_002;100;
FREREQD_003;100;
FREREQD_004;100;
FREREQD_005;100;
FREREQD_006;100;
FREREQD_007;100;
FREREQD_008;100;
FREREQD_009;100;
FREREQD_010;100;
FREREQD_011;100;
FREREQD_012;100;
FREREQM_001;12.9;
FREREQM_002;12.9;
FREREQM_003;12.9;
FREREQM_004;29.9;
FREREQM_005;29.9;
FREREQM_006;29.9;
FREREQM_007;12.9;
FREREQM_008;29.9;
FREREQM_009;29.9;
FREREQM_010;29.9;
FREREQM_011;34.9;
FREREQM_012;39.9;
FRIOEQ_002;101.69;
FRIOEQ_004;0;
FRIOEQ_007;262.37;
FRIOEQ_008;152.03;
FRIOEQ_009;202.37;
FRIOEQ_009;253.22;
FRIOEQ_010;227.97;
FRIOEQ_011;227.97;
FRIOEQ_013;0;
FRIOEQ_015;67.8;
FRIOEQ_016;0;
FRIOEQ_017;0;
FRIOEQ_018;0;
FRIOEQ_019;0;
FRIOEQBM_001;309.6;
FRIOPL_001;1016.1;
FRIOPL_001;1100.85;
FRIOPL_001;1185.59;
FRIOPL_001;1271.19;
FRIOPL_001;1524.58;
FRIOPL_001;1778.81;
FRIOPL_001;338.98;
FRIOPL_001;550.85;
FRIOPL_001;593.22;
FRIOPL_001;635.59;
FRIOPL_001;677.12;
FRIOPL_002;1100.85;
FRIOPL_002;1355.08;
FRIOPL_002;1524.58;
FRIOPL_002;338.98;
FRIOPL_002;507.63;
FRIOPL_002;593.22;
FRIOPL_002;761.86;
FRIOPL_002;974.58;
FRIOPL_003;0;
FRIOPL_004;0;
FRIOPL_005;0;
FRIOPL_005;1016.95;
FRIOPL_005;338.98;
FRIOPL_005;593.22;
FRIOPL_006;0;
FRIOPL_006;338.98;
FRIORX_001;3.88;
FRIORX_002;3.88;
FRIORX_003;3.88;
FRIORX_004;3.88;
FRIORX_005;3.88;
FRIORX_006;84.75;
FRIOSE_001;1.7;
FRIOSE_002;101.69;
FRIOSE_003;41.18;
FRIOSE_004;58.47;
FRIOSE_005;847.46;
FRIOSE_006;423.73;
FRIOSE_007;1271.19;
FRIOSE_008;1694.91;
FRIOSE_009;2542.37;
FRIOSE_010;76.27;
FRIOSV_001;83.19;
FRIOSV_002;4.2;
FRIRCP_001;168.64;
FRIRCP_002;177.97;
FRIRCP_003;8.4;
FRIRCP_004;25.9;
FRIRCP_005;21.19;
FRIRCP_006;30;
FRIRCP_007;21.19;
FRIRCS_001;42.37;
FRIRCS_002;21.19;
FRIRCS_003;21.19;
FRIRDE_001;100;
FRIRDE_002;100;
FRIRDE_003;8.47;
FRIRDE_004;8.47;
FRIRDE_005;100;
FRIRDE_006;16.95;
FRIRDE_007;25.42;
FRIRDE_008;4.24;
FRIRDE_009;8.47;
FRIRDE_010;16.95;
FRIRDE_011;8.47;
FRIRDE_012;42.37;
FRIRDE_013;81.9;
FRIRDE_014;40.1;
FRIRDE_015;42.37;
FRIRDE_016;42.37;
FRIRDE_017;93.22;
FRIRDE_018;42.37;
FRIRDE_019;38.14;
FRIRDE_020;5;
FRIRDE_021;3.31;
FRIRDE_022;8.56;
FRIRDE_023;12.8;
FRIRDE_024;13.47;
FRIRDE_025;38.14;
FRIRDE_026;4.32;
FRIRDE_027;25.42;
FRIRDE_028;16.95;
FRIRDE_029;25.42;
FRIRDE_030;50.85;
FRIRDE_031;16.95;
FRIRDE_032;25.42;
FRIRDE_033;59.32;
FRIRDE_034;42.37;
FRIRDE_035;21.19;
FRIRDE_036;67.8;
FRIRDE_037;50.85;
FRIRDE_038;76.27;
FRIRDE_039;42.37;
FRIRDE_040;59.32;
FRIRDE_041;42.37;
FRIRDE_042;30.42;
FRIRDE_043;30.42;
FRIRDE_044;84.75;
FRIRDE_045;59.32;
FRIRDE_046;12;
FRIRDE_047;14;
FRIRDE_048;16;
FRIRDE_049;18;
FRIRDE_050;20;
FRIRDE_051;8.47;
FRIRDE_052;16.95;
FRIRDE_053;25.42;
FRIRDE_054;33.9;
FRIRDE_055;42.37;
FRIRDE_056;50.85;
FRIRDE_057;59.32;
FRIRDE_058;76.27;
FRIRDE_059;8.47;
FRIRDE_060;16.95;
FRIRDE_061;25.42;
FRIRDE_062;33.9;
FRIRDE_064;50.85;
FRIRDE_065;6.69;
FRIRDE_066;1.69;
FRIRDE_067;42.37;
FRIRDE_068;16.95;
FRIRDE_069;25.42;
FRIRDE_070;50.85;
FRIRDE_071;59.32;
FRIRDE_075;13.47;
FRIRDE_075;4.32;
FRIRDE_076;33.9;
FRIRDE_081;2.54;
FRIRDE_082;4.24;
FRIRDE_083;4.33;
FRIRDE_084;5.08;
FRIRDE_085;7.63;
FRIRDE_086;8.47;
FRIRDE_087;9.24;
FRIRDE_089;12.71;
FRIRDE_090;13.14;
FRIRDE_091;21.19;
FRIRDE_092;21.61;
FRIRDE_093;26.19;
FRIRDE_094;29.66;
FRIRDE_095;33.9;
FRIRDE_096;38.14;
FRIRDE_097;16.95;
FRIRDE_098;2.54;
FRIRDE_099;4.24;
FRIRDE_100;4.33;
FRIRDE_101;5.08;
FRIRDE_102;7.63;
FRIRDE_103;8.47;
FRIRDE_104;9.24;
FRIRDE_105;13.14;
FRIRDE_106;16.95;
FRIRDE_107;21.19;
FRIRDE_108;21.61;
FRIRDE_109;26.19;
FRIRDE_110;33.9;
FRIRDE_111;42.37;
FRIRDE_112;59.32;
FRIRDE_113;25.42;
FRIRDE_114;25.42;
FRIRDE_115;1.7;
FRIRDE_116;0.85;
FRIRDE_117;3.39;
FRIRDE_118;8.47;
FRIRDE_119;42.37;
FRIRDE_120;42.37;
FRIRDE_121;25.42;
FRIRDE_122;59.32;
FRIRDE_123;38.14;
FRIRDE_124;42.37;
FRIRDE_125;42.37;
FRIRDE_126;33.9;
FRIRDE_127;42.37;
FRIRDE_128;42.37;
FRIRDE_129;4.24;
FRIRDE_130;50;
FRIRDE_131;8.47;
FRIRDE_132;12.71;
FRIRDE_133;21.19;
FRIRDE_134;29.66;
FRIRDE_135;25.42;
FRIRDE_136;33.9;
FRIRDE_137;16.95;
FRIRDE_138;0.85;
FRIRDE_139;1.69;
FRIRDE_140;3.81;
FRIRDE_141;6.78;
FRIRDE_142;84.75;
FRIRDE_143;42.37;
FRIRDE_144;50.85;
FRIRDE_145;59.32;
FRIRDE_146;67.8;
FRIRDE_147;76.27;
FRIRDE_148;101.69;
FRIRDE_149;33.9;
FRIRDE_150;16.95;
FRIRDE_151;16.95;
FRIRDE_152;33.9;
FRIRDE_153;67.8;
FRIRDE_154;50.85;
FRIRDE_155;25.42;
FRIRDE_156;33.9;
FRIRDE_157;42.37;
FRIRDE_158;33.9;
FRIRDE_159;33.9;
FRIRDE_160;11.44;
FRIRDE_161;33.9;
FRIRDE_162;33.9;
FRIRDE_163;21.19;
FRIRDE_164;21.19;
FRIRDE_165;16.95;
FRIRDE_166;59.32;
FRIRDE_167;42.37;
FRIRDE_170;4.24;
FRIRDE_171;33.9;
FRIRDE_172;11.44;
FRIRDE_173;33.9;
FRIRDE_174;11.44;
FRIRDE_175;25.42;
FRIRDE_176;16.95;
FRIRDE_177;12.71;
FRIRDE_178;8.47;
FRIRDE_179;21.19;
FRIRDE_180;21.19;
FRIRDE_181;25.42;
FRIRDE_182;25.42;
FRIRDE_183;16.95;
FRIRDE_184;8.48;
FRIRDE_185;4.24;
FRIRDE_186;5.08;
FRIRDE_187;5.93;
FRIRDE_188;6.78;
FRIRDE_189;16.95;
FRIRDE_190;25.42;
FRIRDE_191;7.63;
FRIRDE_192;8.48;
FRIRDE_193;16.95;
FRIRDE_195;25.42;
FRIRDE_198;59.32;
FRIRDE_199;8.47;
FRIRDE_200;8.47;
FRIRDE_201;8.47;
FRIRDE_202;8.47;
FRIRDE_203;8.47;
FRIRDE_204;42.37;
FRIRDE_205;33.9;
FRIRDE_206;4.24;
FRIRDE_207;5.08;
FRIRDE_208;5.93;
FRIRDE_209;6.78;
FRIRDE_210;7.63;
FRIRDE_211;8.48;
FRIRDE_212;4.24;
FRIRDE_213;5.08;
FRIRDE_214;5.93;
FRIRDE_215;6.78;
FRIRDE_216;7.63;
FRIRDE_217;8.48;
FRIRDE_219;0.85;
FRIRDE_220;4.24;
FRIRDE_221;9.32;
FRIRDE_222;12.63;
FRIRDE_223;12.71;
FRIRDE_224;15.25;
FRIREQ_002;10.93;
FRIREQ_003;10.93;
FRIREQ_004;10.93;
FRIREQ_005;12.71;
FRIREQ_006;12.71;
FRIREQBD_003;100;
FRIREQBD_004;100;
FRIREQBM_003;12.9;
FRIREQBM_004;12.63;
FRIROTT_001;55.09;
FRIROTT_002;55.09;
FRIROTT_003;38.05;
FRIROTT_005;32.12;
FRIROTT_007;72.03;
FRIROTT_013;16.87;
FRIROTT_014;16.87;
FRIROTT_015;50.85;
FRIROTT_016;50.85;
FRIROTT_017;33.9;
FRIROTT_018;33.9;
FRIROTT_019;25.42;
FRIROTT_020;25.42;
