"RECEIVER_CUSTOMER","BA_NO","SERVICE_RECEIVER_ID","CHARGE_CODE","CANCEL_CHARGE_TYPE","EFFECTIVE_DATE","AMOUNT","PERIOD_START_DATE","PERIOD_END_DATE","CICLO"
"61384049","606399674","160100316",FRIRDE_209,DSC,"2026-05-31 00:00:00.0000000","0.656129","2026-05-05 00:00:00.0000000","2026-05-07 00:00:00.0000000","20260531"
"61384049","606399674","160100316",FRIRPL_003,CRD,"2026-05-31 00:00:00.0000000",-7.20871,"2026-05-05 00:00:00.0000000","2026-05-07 00:00:00.0000000","20260531"
"133964741","758284405","200592039",RC_PLANRE594,CRD,"2026-05-27 00:00:00.0000000",-9.016,"2026-05-20 00:00:00.0000000","2026-05-27 00:00:00.0000000","20260527"
"135895620","761212409","202721221",RC_PLANRE576,CRD,"2026-07-27 00:00:00.0000000",-5.635,"2026-07-16 00:00:00.0000000","2026-07-20 00:00:00.0000000","20260727"
"136159222","761597715","203021984",RC_PLANRE594,CRD,"2026-07-27 00:00:00.0000000",-1.127,"2026-07-16 00:00:00.0000000","2026-07-16 00:00:00.0000000","20260727"
"135862547","761158943","202680772",RC_PLANRE557,CRD,"2026-07-27 00:00:00.0000000",-14.651,"2026-06-28 00:00:00.0000000","2026-07-10 00:00:00.0000000","20260727"
"135863247","761170698","202709677",RC_PLANRE565,CRD,"2026-07-27 00:00:00.0000000",-3.37867,"2026-07-17 00:00:00.0000000","2026-07-20 00:00:00.0000000","20260727"
"136171647","761621702","203033402",RC_PLANRE565,CRD,"2026-07-27 00:00:00.0000000",-8.44667,"2026-07-16 00:00:00.0000000","2026-07-25 00:00:00.0000000","20260727"
"136198640","761657777","203053128",RC_PLANRE576,CRD,"2026-07-27 00:00:00.0000000",-13.524,"2026-07-16 00:00:00.0000000","2026-07-27 00:00:00.0000000","20260727"
"135874155","761172894","202705655",RC_PLANRE557,CRD,"2026-07-27 00:00:00.0000000",-1.127,"2026-06-28 00:00:00.0000000","2026-06-28 00:00:00.0000000","20260727"
"128609803","749982279","193229351",FRIROTT_001,CRD,"2026-07-27 00:00:00.0000000",-3.67267,"2026-07-20 00:00:00.0000000","2026-07-21 00:00:00.0000000","20260727"
"128609803","749982279","193229351",FRIRPL_003,CRD,"2026-07-27 00:00:00.0000000",-5.07933,"2026-07-20 00:00:00.0000000","2026-07-21 00:00:00.0000000","20260727"
"134599406","759281711","201327413",RC_PLANRE594,CRD,"2026-07-27 00:00:00.0000000",-6.762,"2026-07-16 00:00:00.0000000","2026-07-21 00:00:00.0000000","20260727"
"135264404","760275456","202046433",RC_PLANRE565,CRD,"2026-07-27 00:00:00.0000000",-18.5827,"2026-06-28 00:00:00.0000000","2026-07-19 00:00:00.0000000","20260727"
"136475909","762063695","203361235",RC_PLANRE594,CRD,"2026-07-27 00:00:00.0000000",-13.524,"2026-07-16 00:00:00.0000000","2026-07-27 00:00:00.0000000","20260727"
"134303716","758824640","200983131",RC_PLANRE594,CRD,"2026-07-27 00:00:00.0000000",-3.38101,"2026-06-28 00:00:00.0000000","2026-06-30 00:00:00.0000000","20260727"
"135868411","761175243","202710334",RC_PLANRE610,CRD,"2026-07-27 00:00:00.0000000",-16.912,"2026-07-16 00:00:00.0000000","2026-07-27 00:00:00.0000000","20260727"
"136450411","762031255","203344872",RC_PLANRE565,CRD,"2026-07-27 00:00:00.0000000",-1.68933,"2026-07-16 00:00:00.0000000","2026-07-17 00:00:00.0000000","20260727"
"136462812","762038403","203361613",RC_PLANRE594,CRD,"2026-07-27 00:00:00.0000000",-13.524,"2026-07-16 00:00:00.0000000","2026-07-27 00:00:00.0000000","20260727"
"136477183","762065450","203360940",RC_PLANRE501,CRD,"2026-07-27 00:00:00.0000000",-23.696,"2026-07-16 00:00:00.0000000","2026-07-27 00:00:00.0000000","20260727"
"124643473","743093840","185496666",FRTRCH_005,CRD,"2026-07-27 00:00:00.0000000",-8.38933,"2026-07-06 00:00:00.0000000","2026-07-27 00:00:00.0000000","20260727"
"130932873","753450203","196804272",FRIRPL_003,CRD,"2026-07-27 00:00:00.0000000",-2.53967,"2026-06-30 00:00:00.0000000","2026-06-30 00:00:00.0000000","20260727"
"133947872","758268307","200580237",RC_PLANRE594,CRD,"2026-07-27 00:00:00.0000000",-10.143,"2026-06-28 00:00:00.0000000","2026-07-06 00:00:00.0000000","20260727"
"134629270","759314041","201338063",RC_PLANRE576,CRD,"2026-07-27 00:00:00.0000000",-2.254,"2026-07-17 00:00:00.0000000","2026-07-18 00:00:00.0000000","20260727"
"134865874","759679643","201623646",FRIRPL_003,CRD,"2026-07-27 00:00:00.0000000",-1.97467,"2026-07-16 00:00:00.0000000","2026-07-16 00:00:00.0000000","20260727"
"134903679","759731479","201660328",RC_PLANRE594,CRD,"2026-07-27 00:00:00.0000000",-9.016,"2026-07-17 00:00:00.0000000","2026-07-24 00:00:00.0000000","20260727"
